S.No,HS,AS,CT,NC,TLD,ALD,MD,TLA,ALA,MLA,TLC,ALC,MLC,TDO,MO,MiC,MaC,LOC,CC,CA,CE,SC,CLOC,CD,NL,DIT,CBO,RFC,LCOM,NOC,CBOI,TNM,TNPM,TNLM,TNS,TNG,TNA,TestCount,CS,JC,SD,JW,DL,LCS,NG
446,0.0274,0.0002,0.0,5,155,31.0,152,155,31.0,138,310,62.0,152,2,0.8,1,1,100.0,20.0,1.0,2.0,45.0,43.0,0.727241,3.0,0.0,2.0,12.0,2.0,0.0,3.0,12.0,10.0,12.0,0.0,1.0,2.0,0,0.007582145998009066,0.13944954128440368,0.24476650563607086,0.5939167737960815,1163.0,1268.0,0.14730876684188843
447,0.0215,0.0009,18.0,3,91,30.333333333333332,91,91,30.333333333333332,89,182,60.666666666666664,91,2,0.6666666666666666,0,2,52.0,11.0,1.0,1.0,26.0,18.0,0.257143,2.0,0.0,1.0,6.0,2.0,0.0,1.0,5.0,5.0,5.0,1.0,0.0,2.0,0,0.0027784940262579106,0.11663807890222985,0.20890937019969277,0.604238748550415,1055.0,1165.0,0.15444016456604004
448,0.0010,0.0002,0.0,2,195,97.5,195,195,97.5,195,390,195.0,195,1,1.0,0,1,171.0,21.0,4.0,8.0,66.0,83.0,1.6516590000000002,4.0,0.0,11.0,22.0,5.0,0.0,10.0,24.0,20.0,24.0,1.0,2.0,6.0,0,6.682511831062386E-4,0.14940239043824702,0.25996533795493937,0.6188629269599915,847.0,960.0,0.18156427145004272
0,0.0432,0.0010,0.0,4,31,7.75,19,146,36.5,123,177,44.25,123,2,0.5,0,2,59.0,12.0,0.0,0.0,19.0,12.0,0.169014,1.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,5.0,6.0,0.0,0.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.1806,0.0010,0.0,13,50,3.8461538461538463,14,239,18.384615384615383,42,289,22.23076923076923,46,3,0.6153846153846154,3,0,114.0,24.0,0.0,32.0,44.0,14.0,0.109375,2.0,0.0,3.0,43.0,6.0,0.0,0.0,11.0,9.0,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,0.1556,0.0275,55.33333333333333,63,324,5.142857142857143,30,936,14.857142857142858,146,1260,20.0,146,5,0.6666666666666666,5,0,453.0,97.0,14.0,17.0,157.0,17.0,0.0361702,6.0,1.0,10.0,74.0,4.0,0.0,4.0,57.0,51.0,57.0,18.0,20.0,29.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,0.0279,0.0010,0.0,3,12,4.0,11,48,16.0,33,60,20.0,33,2,0.6666666666666666,0,2,8.0,1.0,0.0,0.0,1.0,25.0,0.757576,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,0.0271,0.0117,5.0,4,37,9.25,20,137,34.25,85,174,43.5,85,3,0.5,0,3,63.0,9.0,1.0,0.0,18.0,22.0,0.258824,0.0,0.0,0.0,9.0,0.0,0.0,1.0,9.0,9.0,9.0,0.0,7.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,0.0022,0.0114,2.0,6,16,2.6666666666666665,11,80,13.333333333333334,32,96,16.0,32,3,0.5,1,2,35.0,5.0,3.0,0.0,9.0,24.0,0.40678,0.0,0.0,0.0,5.0,0.0,1.0,4.0,5.0,3.0,5.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,0.0277,0.0095,0.0,3,1,0.3333333333333333,1,40,13.333333333333334,33,41,13.666666666666666,33,2,0.6666666666666666,0,2,22.0,3.0,1.0,2.0,5.0,7.0,0.241379,0.0,1.0,1.0,5.0,0.0,0.0,3.0,8.0,6.0,3.0,0.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,0.0022,0.0228,1.5,6,15,2.5,11,59,9.833333333333334,40,74,12.333333333333334,40,2,0.8333333333333334,1,1,17.0,3.0,2.0,0.0,3.0,22.0,0.564103,0.0,0.0,0.0,3.0,0.0,0.0,7.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,0.1810,0.0010,0.0,23,209,9.08695652173913,98,413,17.956521739130434,105,622,27.043478260869566,105,2,0.5217391304347826,2,0,102.0,15.0,0.0,22.0,35.0,17.0,0.142857,2.0,1.0,17.0,25.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,0.0727,0.0010,0.0,1,0,0.0,0,38,38.0,38,38,38.0,38,1,1.0,0,1,30.0,4.0,0.0,1.0,4.0,1.0,0.0322581,0.0,1.0,7.0,5.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.0564,0.0010,0.0,26,137,5.269230769230769,41,356,13.692307692307692,81,493,18.96153846153846,105,4,0.5769230769230769,4,0,165.0,25.0,0.0,3.0,32.0,5.0,0.0294118,3.0,1.0,6.0,19.0,1.0,0.0,0.0,16.0,13.0,16.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,0.0552,0.0036,1.0,7,14,2.0,11,126,18.0,81,140,20.0,81,3,0.5714285714285714,2,1,67.0,14.0,1.0,0.0,17.0,24.0,0.263736,1.0,1.0,1.0,10.0,2.0,0.0,1.0,10.0,10.0,10.0,0.0,6.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,0.0370,0.0010,0.0,21,245,11.666666666666666,62,305,14.523809523809524,112,550,26.19047619047619,112,4,0.6190476190476191,4,0,22.0,4.0,0.0,1.0,6.0,6.0,0.214286,1.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,0.0022,0.0098,1.0,4,13,3.25,11,57,14.25,40,70,17.5,40,2,0.75,0,2,17.0,3.0,1.0,0.0,3.0,22.0,0.564103,0.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,0.1286,0.0010,0.0,21,148,7.0476190476190474,90,251,11.952380952380953,94,399,19.0,94,4,0.7142857142857143,4,0,43.0,6.0,0.0,8.0,15.0,13.0,0.232143,1.0,1.0,9.0,10.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,0.0061,0.0164,0.0,2,3,1.5,3,46,23.0,41,49,24.5,41,1,1.0,0,1,13.0,2.0,2.0,0.0,2.0,6.0,0.315789,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,0.0296,0.0164,0.5,2,41,20.5,41,97,48.5,49,138,69.0,90,1,1.0,0,1,42.0,8.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,8.0,8.0,8.0,3.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,0.0022,0.0164,1.0,2,16,8.0,16,43,21.5,25,59,29.5,34,1,1.0,0,1,20.0,4.0,0.0,0.0,3.0,18.0,0.473684,0.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,0.0019,0.0010,0.0,3,36,12.0,36,72,24.0,36,108,36.0,36,2,0.6666666666666666,0,2,8.0,1.0,0.0,0.0,1.0,25.0,0.757576,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
