S.No,HS,AS,CT,NC,TLD,ALD,MD,TLA,ALA,MLA,TLC,ALC,MLC,TDO,MO,MiC,MaC,LOC,CC,CA,CE,SC,CLOC,CD,NL,DIT,CBO,RFC,LCOM,NOC,CBOI,TNM,TNPM,TNLM,TNS,TNG,TNA,TestCount,CS,JC,SD,JW,DL,LCS,NG
487,0.0430,0.0011,3.5333333333333337,3,1,0.3333333333333333,1,40,13.333333333333334,26,41,13.666666666666666,26,2,0.6666666666666666,0,2,12.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1,0.015767509254707737,0.11304347826086956,0.203125,0.5476270318031311,2894.0,2953.0,0.07373201847076416
488,0.0192,0.0008,33.33333333333333,9,47,5.222222222222222,36,83,9.222222222222221,36,130,14.444444444444445,72,2,0.8888888888888888,1,1,14.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0,5.359183735822656E-4,0.11126005361930295,0.20024125452352232,0.5537716150283813,2347.0,2419.0,0.08593153953552246
489,0.0183,0.0008,41.0,8,42,5.25,33,77,9.625,33,119,14.875,66,2,0.875,1,1,16.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,4.0,0,7.126120771457488E-4,0.12581344902386118,0.22350674373795762,0.5631849765777588,1346.0,1448.0,0.1266499161720276
490,0.0498,0.0030,292.37303986862804,15,321,21.4,192,593,39.53333333333333,192,914,60.93333333333333,384,3,0.8,2,1,171.0,39.0,7.0,8.0,97.0,27.0,0.136364,2.0,2.0,5.0,17.0,2.0,0.0,5.0,22.0,16.0,9.0,1.0,3.0,5.0,1,0.0,0.08011869436201781,0.14835164835164835,0.6969158053398132,279.0,406.0,0.2119113802909851
491,0.0512,0.0053,255.05800865800865,23,149,6.478260869565218,77,255,11.08695652173913,77,404,17.565217391304348,154,5,0.8260869565217391,5,0,58.0,15.0,8.0,7.0,27.0,13.0,0.183099,3.0,3.0,4.0,15.0,2.0,0.0,5.0,29.0,28.0,8.0,4.0,7.0,14.0,1,0.0,0.10884353741496598,0.19631901840490798,0.6448134779930115,264.0,370.0,0.25069254636764526
492,0.0245,0.0012,22.546969696969697,18,176,9.777777777777779,109,314,17.444444444444443,109,490,27.22222222222222,218,2,0.9444444444444444,1,1,84.0,22.0,4.0,9.0,46.0,16.0,0.16,3.0,2.0,8.0,17.0,2.0,2.0,2.0,21.0,15.0,8.0,2.0,3.0,11.0,0,0.001107474310541885,0.11204481792717087,0.20151133501259447,0.6942870020866394,264.0,381.0,0.25069254636764526
493,0.0463,0.0067,79.49253246753247,11,146,13.272727272727273,121,275,25.0,121,421,38.27272727272727,242,3,0.8181818181818182,2,1,106.0,25.0,11.0,0.0,51.0,9.0,0.09375,2.0,0.0,0.0,12.0,10.0,0.0,8.0,15.0,15.0,15.0,0.0,0.0,0.0,1,5.929189249404749E-4,0.10396039603960396,0.18834080717488788,0.6409497857093811,583.0,706.0,0.21927553415298462
494,0.0326,0.0091,1219.5644438894437,32,388,12.125,185,587,18.34375,226,975,30.46875,370,4,0.875,4,0,125.0,33.0,28.0,13.0,71.0,24.0,0.161074,4.0,2.0,13.0,26.0,1.0,0.0,13.0,26.0,23.0,13.0,2.0,6.0,6.0,1,3.743237918418679E-4,0.0968586387434555,0.1766109785202864,0.6112663149833679,449.0,593.0,0.22727274894714355
495,0.0396,0.0003,0.0,9,67,7.444444444444445,49,113,12.555555555555555,49,180,20.0,98,4,0.6666666666666666,3,1,19.0,5.0,0.0,0.0,8.0,6.0,0.24,1.0,3.0,2.0,3.0,2.0,0.0,2.0,24.0,23.0,3.0,4.0,5.0,8.0,0,0.026573105137325758,0.1078167115902965,0.19464720194647203,0.6286522150039673,392.0,536.0,0.23523807525634766
496,0.0127,0.0050,133.76810689310688,11,379,34.45454545454545,201,622,56.54545454545455,225,1001,91.0,402,3,0.8181818181818182,2,1,158.0,41.0,9.0,1.0,97.0,22.0,0.122222,3.0,0.0,3.0,13.0,1.0,0.0,6.0,12.0,11.0,12.0,1.0,4.0,3.0,1,0.006491752047460137,0.11991434689507495,0.21414913957934992,0.6135832667350769,611.0,741.0,0.20665830373764038
497,0.0181,0.0004,9.642857142857142,11,71,6.454545454545454,48,127,11.545454545454545,48,198,18.0,96,3,0.8181818181818182,2,1,27.0,5.0,1.0,8.0,15.0,2.0,0.0689655,2.0,3.0,5.0,10.0,1.0,0.0,1.0,22.0,16.0,2.0,2.0,3.0,11.0,0,0.03094712176317941,0.10238907849829351,0.18575851393188855,0.5793198943138123,1533.0,1625.0,0.11817169189453125
498,0.0159,0.0007,35.92619047619048,8,27,3.375,15,75,9.375,57,102,12.75,57,3,0.75,2,1,24.0,7.0,1.0,5.0,12.0,0.0,0.0,3.0,3.0,4.0,8.0,2.0,0.0,1.0,23.0,17.0,3.0,2.0,3.0,11.0,0,0.0,0.10697674418604651,0.19327731092436976,0.6187087893486023,789.0,908.0,0.18281716108322144
499,0.0182,0.0003,0.0,6,60,10.0,56,116,19.333333333333332,56,176,29.333333333333332,112,3,0.6666666666666666,2,1,22.0,5.0,0.0,0.0,5.0,10.0,0.3125,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,4.0,5.0,2.0,2.0,5.0,0,0.020610056769493883,0.09740259740259741,0.17751479289940827,0.5738450884819031,932.0,1050.0,0.16218560934066772
500,0.0233,0.0003,171.75,2,1,0.5,1,60,30.0,59,61,30.5,59,2,0.5,0,2,23.0,5.0,2.0,3.0,9.0,5.0,0.178571,0.0,1.0,7.0,8.0,1.0,2.0,2.0,5.0,3.0,5.0,0.0,2.0,3.0,0,0.0031939920720335854,0.1016949152542373,0.18461538461538463,0.5823376774787903,795.0,918.0,0.1775326132774353
